State,Year,Projected Populations
North Dakota,2006,635879
North Dakota,2007,636193
North Dakota,2008,636452
North Dakota,2009,636612
North Dakota,2010,636623
North Dakota,2011,636532
North Dakota,2012,636351
North Dakota,2013,636086
North Dakota,2014,635659
North Dakota,2015,635133
North Dakota,2016,634463
North Dakota,2017,633633
North Dakota,2018,632627
North Dakota,2019,631470
North Dakota,2020,630112
North Dakota,2021,628561
North Dakota,2022,626860
North Dakota,2023,624978
North Dakota,2024,622970
North Dakota,2025,620777
North Dakota,2026,618387
North Dakota,2027,615741
North Dakota,2028,612879
North Dakota,2029,609838
North Dakota,2030,606566
Ohio,2004,11453779
Ohio,2005,11477557
Ohio,2006,11500385
Ohio,2007,11521570
Ohio,2008,11541279
Ohio,2009,11559502
Ohio,2010,11576181
Ohio,2011,11591373
Ohio,2012,11605094
Ohio,2013,11617119
Ohio,2014,11627284
Ohio,2015,11635446
Ohio,2016,11641535
Ohio,2017,11645448
Ohio,2018,11647203
Ohio,2019,11646712
Ohio,2020,11644058
Ohio,2021,11639414
Ohio,2022,11633173
Ohio,2023,11625398
Ohio,2024,11616242
Ohio,2025,11605738
Ohio,2026,11594980
Ohio,2027,11583954
Ohio,2028,11572775
Ohio,2029,11561526
Ohio,2030,11550528
Oklahoma,2004,3507229
Oklahoma,2005,3521379
Oklahoma,2006,3535634
Oklahoma,2007,3549795
Oklahoma,2008,3563865
Oklahoma,2009,3577766
Oklahoma,2010,3591516
Oklahoma,2011,3605313
Oklahoma,2012,3619273
Oklahoma,2013,3633287
Oklahoma,2014,3647370
Oklahoma,2015,3661694
Oklahoma,2016,3676116
Oklahoma,2017,3690699
Oklahoma,2018,3705437
Oklahoma,2019,3720396
Oklahoma,2020,3735690
Oklahoma,2021,3751443
Oklahoma,2022,3767829
Oklahoma,2023,3784867
Oklahoma,2024,3802592
Oklahoma,2025,3820994
Oklahoma,2026,3839468
Oklahoma,2027,3857942
Oklahoma,2028,3876398
Oklahoma,2029,3894910
Oklahoma,2030,3913251
Oregon,2004,3560595
Oregon,2005,3596083
Oregon,2006,3632890
Oregon,2007,3670799
Oregon,2008,3709778
Oregon,2009,3749852
Oregon,2010,3790996
Oregon,2011,3833123
Oregon,2012,3876455
Oregon,2013,3920890
Oregon,2014,3966347
Oregon,2015,4012924
Oregon,2016,4060467
Oregon,2017,4108966
Oregon,2018,4158539
Oregon,2019,4208983
Oregon,2020,4260393
Oregon,2021,4312897
Oregon,2022,4366700
Oregon,2023,4421848
Oregon,2024,4478426
Oregon,2025,4536418
Oregon,2026,4594977
Oregon,2027,4653962
Oregon,2028,4713432
Oregon,2029,4773457
Oregon,2030,4833918
Pennsylvania,2004,12391530
Pennsylvania,2005,12426603
Pennsylvania,2006,12460844
Pennsylvania,2007,12493634
Pennsylvania,2008,12525118
Pennsylvania,2009,12555469
Pennsylvania,2010,12584487
Pennsylvania,2011,12612380
Pennsylvania,2012,12639226
Pennsylvania,2013,12664761
Pennsylvania,2014,12688737
Pennsylvania,2015,12710938
Pennsylvania,2016,12731118
Pennsylvania,2017,12748977
Pennsylvania,2018,12764432
Pennsylvania,2019,12777274
Pennsylvania,2020,12787354
Pennsylvania,2021,12794939
Pennsylvania,2022,12800217
Pennsylvania,2023,12803142
Pennsylvania,2024,12803729
Pennsylvania,2025,12801945
Pennsylvania,2026,12798532
Pennsylvania,2027,12793437
Pennsylvania,2028,12786628
Pennsylvania,2029,12778134
Pennsylvania,2030,12768184
Rhode Island,2004,1079675
Rhode Island,2005,1086575
Rhode Island,2006,1093191
Rhode Island,2007,1099496
Rhode Island,2008,1105525
Rhode Island,2009,1111252
Rhode Island,2010,1116652
Rhode Island,2011,1121758
Rhode Island,2012,1126613
Rhode Island,2013,1131213
Rhode Island,2014,1135531
Rhode Island,2015,1139543
Rhode Island,2016,1143240
Rhode Island,2017,1146594
Rhode Island,2018,1149555
Rhode Island,2019,1152141
Rhode Island,2020,1154230
Rhode Island,2021,1155920
Rhode Island,2022,1157175
Rhode Island,2023,1157929
Rhode Island,2024,1158169
Rhode Island,2025,1157855
Rhode Island,2026,1157355
Rhode Island,2027,1156640
Rhode Island,2028,1155672
Rhode Island,2029,1154426
Rhode Island,2030,1152941
South Carolina,2004,4196813
South Carolina,2005,4239310
South Carolina,2006,4281597
South Carolina,2007,4323556
South Carolina,2008,4365055
South Carolina,2009,4406143
South Carolina,2010,4446704
South Carolina,2011,4486790
South Carolina,2012,4526466
South Carolina,2013,4565601
South Carolina,2014,4604180
South Carolina,2015,4642137
South Carolina,2016,4679441
South Carolina,2017,4716202
South Carolina,2018,4752323
South Carolina,2019,4787774
South Carolina,2020,4822577
South Carolina,2021,4856829
South Carolina,2022,4890655
South Carolina,2023,4924048
South Carolina,2024,4957008
South Carolina,2025,4989550
South Carolina,2026,5021859
South Carolina,2027,5053886
South Carolina,2028,5085678
South Carolina,2029,5117243
South Carolina,2030,5148569
South Dakota,2004,768663
South Dakota,2005,771803
South Dakota,2006,774953
South Dakota,2007,778006
South Dakota,2008,780947
South Dakota,2009,783755
South Dakota,2010,786399
South Dakota,2011,788892
South Dakota,2012,791220
South Dakota,2013,793331
South Dakota,2014,795274
South Dakota,2015,796954
South Dakota,2016,798415
South Dakota,2017,799611
South Dakota,2018,800606
South Dakota,2019,801393
South Dakota,2020,801939
South Dakota,2021,802269
South Dakota,2022,802396
South Dakota,2023,802350
South Dakota,2024,802157
South Dakota,2025,801845
South Dakota,2026,801544
